uri;count;total;min;average;max;standarddeviation;persecond;errors
"INPRO15.1: 60+ Day Delinquency - DELQ_60PLUS";1;836;836;836;836;0;0;0
"INPRO13.2: Cumulative Net Charge Off - CUM_LOSS_COVERAGE";1;684;684;684;684;0;0;0
"Insikt Loans LendingClub : Loan term :30,60 : DELQ_30PLUS - Annual";1;2071;2071;2071;2071;0;0;0
"INPRO15.1: 60+ Day Delinquency - DELQ_60PLUS_FORECAST";1;733;733;733;733;0;0;0
"INLCM15.2: 60+ Day Delinquency - DELQ_60PLUS";1;767;767;767;767;0;0;0
"INPRO13.1: 30+ Day Delinquency - DELQ_30PLUS_FORECAST";1;764;764;764;764;0;0;0
"INPRO14.2: 60+ Day Delinquency - DELQ_60PLUS_FORECAST";1;738;738;738;738;0;0;0
"INPRO14.1: 60+ Day Delinquency - DELQ_60PLUS_COVERAGE";1;691;691;691;691;0;0;0
"invest/cro/cro.html";1;6700;6700;6700;6700;0;0;0
"INLCM15.2: Cumulative Net Charge Off  - CUM_LOSS_FORECAST";1;809;809;809;809;0;0;0
"Insikt Loans Prosper:Loan term :60 : DELQ_30PLUS - Monthly";1;316;316;316;316;0;0;0
"Insikt Loans Prosper: Quarterly: Loan term :30,60 -CUM_LOSS";1;4879;4879;4879;4879;0;0;0
"INPRO13.1: Cumulative Net Charge Off - CUM_LOSS_COVERAGE";1;687;687;687;687;0;0;0
"INLCM15.2: 60+ Day Delinquency - DELQ_60PLUS_FORECAST";1;807;807;807;807;0;0;0
"Insikt Loans LendingClub : Loan term :30,60 : DELQ_30PLUS - Quarterly";1;5017;5017;5017;5017;0;0;0
"INPRO15.1: Cumulative Net Charge Off - CUM_LOSS_COVERAGE";1;695;695;695;695;0;0;0
"INPRO15.1: 30+ Day Delinquency - DELQ_30PLUS";1;845;845;845;845;0;0;0
"INPRO14.2: 60+ Day Delinquency - DELQ_60PLUS_COVERAGE";1;689;689;689;689;0;0;0
"INPRO13.2: Cumulative Net Charge Off - CUM_LOSS";1;1029;1029;1029;1029;0;0;0
"INPRO14.2: Cumulative Net Charge Off - CUM_LOSS_FORECAST";1;747;747;747;747;0;0;0
"Insikt Loans LendingClub : DELQ_30PLUS : Monthly +36,60 +Prosper";1;12230;12230;12230;12230;0;0;0
"INLCM15.3: 30+ Day Delinquency -  DELQ_30PLUS";1;749;749;749;749;0;0;0
"Insikt Loans LendingClub : Loan term :36 : DELQ_30PLUS - Monthly";1;11544;11544;11544;11544;0;0;0
"Insikt Loans Prosper:Loan term :30,60 : DELQ_30PLUS - Quarterly";1;6285;6285;6285;6285;0;0;0
"INPRO13.2: Cumulative Net Charge Off - CUM_LOSS_FORECAST";1;719;719;719;719;0;0;0
"Insikt Loans Prosper: Quarterly: Loan term : 60";1;316;316;316;316;0;0;0
"Insikt Loans LendingClub : Loan term :36 : DELQ_30PLUS - Quarterly";1;4894;4894;4894;4894;0;0;0
"Insikt Loans Prosper:Loan term :36 : DELQ_30PLUS - Monthly";1;14200;14200;14200;14200;0;0;0
"INPRO14.1: 60+ Day Delinquency - DELQ_60PLUS";1;910;910;910;910;0;0;0
